Assigned SE,Company / Account,Activity Type,Date,Need SE Assigned?
SE2,Company184,New Business Meeting,4/13/2023,Yes
SE2,Company184,New Business Meeting,4/13/2023,Yes
SE2,Company105,New Business Meeting,3/7/2023,Yes
SE2,Company184,New Business Meeting,4/13/2023,Yes
SE2,Company18,New Business Meeting,4/3/2023,Yes
SE2,Company18,New Business Meeting,4/3/2023,Yes
SE2,Company87,New Business Meeting,4/18/2023,Yes
SE2,Company109,Discovery,4/24/2023,Yes
SE2,Company186,New Business Meeting,5/16/2023,Yes
SE2,Company101,New Business Meeting,6/5/2023,Yes
SE2,Company184,New Business Meeting,5/17/2023,
SE2,Company184,New Business Meeting,5/17/2023,
SE2,Company184,New Business Meeting,5/17/2023,
SE2,Company184,New Business Meeting,5/17/2023,
SE2,Company78,Discovery,6/2/2023,
SE2,Company78,Discovery,6/2/2023,
SE2,Company53,New Business Meeting,5/25/2023,
SE2,Company53,New Business Meeting,5/25/2023,
SE2,Company53,New Business Meeting,5/25/2023,
SE2,Company53,New Business Meeting,5/26/2023,
SE2,Company53,New Business Meeting,5/26/2023,
SE2,Company53,New Business Meeting,5/26/2023,
SE2,Company78,Discovery,6/5/2023,
SE2,Company78,Discovery,6/5/2023,
SE2,Company243,New Business Meeting,6/7/2023,
SE2,Company172,Deal Progression Call,6/19/2023,Yes
SE2,Company85,New Business Meeting,6/12/2023,No
SE2,Company85,New Business Meeting,6/12/2023,
SE2,Company156,Discovery,6/21/2023,Yes
SE2,Company159,New Business Meeting,6/22/2023,
SE5,Company64,Discovery,1/3/2023,Yes
SE5,Company10,Discovery,2/2/2023,No
SE5,Company10,Discovery,2/2/2023,No
SE5,Company10,Discovery,2/2/2023,No
SE5,Company237,Deal Progression Call,1/17/2023,No
SE5,Company237,Deal Progression Call,1/17/2023,No
SE5,Company237,New Business Meeting,1/19/2023,No
SE5,Company64,New Business Meeting,1/17/2023,
SE5,Company24,Discovery,1/16/2023,
SE5,Company74,Discovery,1/10/2023,
SE5,Company93,Discovery,1/12/2023,
SE5,Company24,Discovery,1/16/2023,
SE5,Company24,Discovery,1/16/2023,
SE5,Company195,Discovery,1/20/2023,No
SE5,Company68,Discovery,1/20/2023,No
SE5,Company68,Discovery,1/20/2023,No
SE5,Company229,Deal Progression Call,1/20/2023,
SE5,Company235,Other,1/16/2023,
SE5,Company235,Other,1/17/2023,
SE5,Company246,Deal Progression Call,1/17/2023,
SE5,Company74,Discovery,1/18/2023,
SE5,Company74,Discovery,1/18/2023,
SE5,Company235,Deal Progression Call,1/17/2023,
SE5,Company235,Other,1/18/2023,
SE5,Company253,Deal Progression Call,2/1/2023,No
